"sub","hit","miss","fa","nr","cr","tot","hr","far","zhr","zfar","dprime","hr1","hr2","hr4","hr8","hr16","hr32","hr64","hr128","hits1","hits2","hits4","hits8","hits16","hits32","hits64","hits128","dp1","dp2","dp4","dp8","dp16","dp32","dp64","dp128","hrPass","hitsPass"
"lts5_0322D_38_01",357,45,9,1,902,1314,0.888059701492537,0.00986842105263158,1.21627390925877,-2.33131336296294,3.54758727222171,0.866666666666667,0.97196261682243,0.9375,0.833333333333333,0.945054945054945,0.6,0.555555555555556,0.5625,26,104,90,20,86,12,10,9,3.44208497959972,4.24176749809723,3.86543390731548,3.29873492906464,3.93000062255752,2.58466046609874,2.4710236618448,2.48862404757311,TRUE,TRUE
"lts5_0322D_39_01",364,37,7,1,905,1314,0.907730673316708,0.00766703176341731,1.32690940346019,-2.42439152682761,3.75130093028781,0.966666666666667,0.97029702970297,0.979591836734694,0.833333333333333,0.924731182795699,0.9,0.526315789473684,0.4375,29,98,96,20,86,18,10,7,4.25830616264353,4.30956855925966,4.4697825167009,3.39181309292931,3.8620265631727,3.70594309237221,2.49040333920345,2.26708084221744,TRUE,TRUE
"lts5_0322D_40_01",320,80,45,5,864,1314,0.8,0.0492341356673961,0.841621233572914,-1.6523252170585,2.49394645063142,0.6,0.871287128712871,0.880434782608696,0.708333333333333,0.888888888888889,0.65,0.555555555555556,0.3125,18,88,81,17,88,13,10,5,1.9056723201943,2.78482174667747,2.82948826397913,2.2008474997566,2.87296556590585,2.03764568346607,1.79203551594036,1.16354880594383,TRUE,TRUE
"lts5_0325D_41_01",328,75,31,10,869,1313,0.813895781637717,0.0340659340659341,0.892344261968954,-1.82413365838222,2.71647792035117,0.766666666666667,0.927083333333333,0.91,0.666666666666667,0.846938775510204,0.571428571428571,0.444444444444444,0.375,23,89,91,16,83,12,8,6,2.55204694926386,3.27854126123826,3.16488869207243,2.25486095767768,2.84752585177374,2.00414602817492,1.68442335950036,1.50549429441784,TRUE,TRUE
"lts5_0326D_42_01",364,40,28,13,869,1314,0.900990099009901,0.0307692307692308,1.28721373281733,-1.8696066471189,3.15682037993623,0.806451612903226,0.97979797979798,0.927083333333333,0.875,0.94949494949495,0.85,0.666666666666667,0.529411764705882,25,97,89,21,94,17,12,9,2.73450100580419,3.91920091351289,3.32401424997494,3.01995602749491,3.50958291725212,2.90604003661269,2.30033394641436,1.94339792092718,TRUE,TRUE
"lts5_0326D_43_01",353,48,20,37,855,1313,0.880299251870324,0.0219298245614035,1.17648406545335,-2.01542966170684,3.19191372716019,0.766666666666667,0.953703703703704,0.942857142857143,0.833333333333333,0.949367088607595,0.80952380952381,0.555555555555556,0.375,23,103,99,20,75,17,10,6,2.74334295258848,3.69730718196444,3.59464918099041,2.98285122780854,3.65417732628222,2.89157251095368,2.1551399605887,1.69679029774246,TRUE,TRUE
"lts5_0328D_45_01",165,238,6,428,477,1314,0.409429280397022,0.00658616904500549,-0.229013323306674,-2.47907560718754,2.25006228388087,0.483870967741935,0.418367346938776,0.42,0.5,0.34375,0.55,0.111111111111111,0.5625,15,41,42,12,33,11,2,9,2.43863509862189,2.27300363760421,2.27718212804569,2.47907560718754,2.07682554186582,2.60473695404262,1.25843525834019,2.63638629179771,FALSE,FALSE
"lts5_0328D_46_01",313,90,58,1,853,1315,0.776674937965261,0.0635964912280702,0.761011624512882,-1.52526512587685,2.28627675038973,0.741935483870968,0.898989898989899,0.87,0.583333333333333,0.851063829787234,0.6,0.368421052631579,0.0625,23,89,87,14,80,12,7,1,2.17458903906331,2.80108216727863,2.65165625491565,1.73569352012477,2.56627203763297,1.77861222901265,1.18922698550502,-0.00885541847569815,FALSE,FALSE
"lts5_0802R_01_01",379,21,5,0,909,1314,0.9475,0.00547045951859956,1.62108225085241,-2.54458017949883,4.16566243035124,0.833333333333333,0.981308411214953,0.990740740740741,0.958333333333333,0.987012987012987,1,0.722222222222222,0.625,25,105,107,23,76,20,13,10,3.51200174560053,4.62613471813456,4.8996641889922,4.27624457562108,4.77118007473889,Inf,3.13403597734861,2.86321954346321,TRUE,TRUE
"lts5_0802R_02_01",343,60,38,9,863,1313,0.851116625310174,0.0417582417582418,1.04123445289787,-1.73063725014397,2.77187170304185,0.78125,0.89247311827957,0.934959349593496,0.75,0.907894736842105,0.7,0.666666666666667,0.411764705882353,25,83,115,18,69,14,12,7,2.5070590112919,2.97042539724281,3.24441861381772,2.40512700034006,3.05853912189981,2.25503776285202,2.16136454943943,1.50762941920361,TRUE,TRUE
"lts5_0802R_03_01",381,23,27,0,883,1314,0.943069306930693,0.0296703296703297,1.58107283055244,-1.88566094227646,3.4667337728289,0.8,0.952380952380952,0.971698113207547,0.875,1,0.904761904761905,1,0.764705882352941,24,100,103,21,83,19,18,13,2.72728217584937,3.55405213622354,3.79201894510949,3.03601032265247,Inf,3.19483265906224,Inf,2.6071832262588,TRUE,TRUE
"lts5_0807R_04_01",356,46,24,2,885,1313,0.885572139303483,0.026344676180022,1.20331170451117,-1.93745824810266,3.14076995261383,0.933333333333333,0.944954128440367,0.95959595959596,0.75,0.904761904761905,0.80952380952381,0.611111111111111,0.470588235294118,28,103,95,18,76,17,11,8,3.43854419414668,3.53523916476263,3.68347477080187,2.61194799829874,3.24662996488843,2.8136010973495,2.21967439516517,1.86366697429438,TRUE,TRUE
"lts5_0808R_05_01",372,28,31,2,879,1312,0.93,0.0339912280701754,1.47579102817917,-1.82512309246469,3.30091412064386,0.866666666666667,0.962616822429907,0.96969696969697,1,0.988372093023256,0.8,0.722222222222222,0.5625,26,103,96,24,85,16,13,9,2.93589470910147,3.60701809815755,3.70148165435928,Inf,4.09432888874965,2.6667443260376,2.41457889031447,1.98243377707486,TRUE,TRUE
